"Name","Lat","Lon"
"GCJ5E8 :: Under the Marquam Bridge","45.4931330000","-122.6887170000"
"GCJ5EA :: Double Cross","45.4948000000","-122.6901500000"
"GCJ5EC :: Just Off The 'T'","45.4910670000","-122.6885830000"
"GCG35E :: FishHead Bill's Chart House Cache","45.4843330000","-122.6847670000"
"GCCA73 :: Poetry in Motion","45.5228830000","-122.6813170000"
"GCPMKA :: Trek to the Trek","46.9233330000","-122.2840500000"
"GCCCFF :: Vashon-????","47.4230500000","-122.4599500000"
"GCJCY8 :: Does Anybody Really Know What Time It Is?","47.4474330000","-122.1666670000"
"GCJENW :: Road Trip!","47.4624170000","-122.2645500000"
"GCJCY9 :: Let's Take A Little Trip!","47.4676500000","-122.2495170000"
"GCJCFD :: Hail To The Chief!","47.4899830000","-122.2211330000"
"GCJCDY :: Geocaching Is Fun!","47.4963170000","-122.1977670000"
"GCJCEP :: 3 of 9","47.5172830000","-122.1602000000"
"GCJCF7 :: How Does This Internet Thing Work?","47.5340000000","-122.2148830000"
"GCG4P7 :: Newcastle Boren","47.5316000000","-122.1648670000"
"GCE504 :: Hazel Hilltop","47.5367670000","-122.1795830000"
"GCG063 :: Olmsted Legacy #1","47.5589330000","-122.2527330000"
"GC4EA :: WASH OUT FOR THAT LAKE!!!","47.5615000000","-122.2536670000"
"GCGQ8M :: Forest Drive Pipeline","47.5545830000","-122.1652330000"
"GCGK2C :: The Green Box","47.5537170000","-122.1376000000"
"GCG4P9 :: Newcastle Beach","47.5642670000","-122.1897670000"
"GCHE9W :: Martin","47.5833670000","-122.2969500000"
"GCH5WK :: Slimey Critter Cache","47.5690000000","-122.1477500000"
"GCGW1J :: Dockside #2","47.5750670000","-122.1891330000"
"GCE3F9 :: You can't get there from here!","47.5788500000","-122.1893500000"
"GCHV6A :: Noisy Crossroads","47.5800330000","-122.1743500000"
"GCJCKP :: It's Not Polish!","47.5898170000","-122.2583330000"
"GCHG74 :: Factoria Overlook","47.5818830000","-122.1733330000"
"GC5202 :: The "PIT" Park Cache","47.5868670000","-122.1980670000"
"GCGW53 :: Ghost of Runways Past","47.5839330000","-122.1312170000"
"GCJ9XQ :: Alien Drop Site","47.5919000000","-122.1920330000"
"GCG435 :: Memorial Micro","47.5933000000","-122.1742330000"
"GCHJ9D :: Bellevue DVD Swap","47.5946500000","-122.1833330000"
"GCGN8G :: Only the Phantom Knows!, redux","47.5921670000","-122.1313330000"
"GCH8HP :: On the Way #3","47.5936000000","-122.1152670000"
"GCJBN4 :: hot wheels special","47.5954830000","-122.1129170000"
"GCG4XE :: Phantomime","47.5983830000","-122.1329170000"
"GCJCE6 :: Hollerith Cache","47.6118500000","-122.2055830000"
"GCGYGQ :: Structuralist Geocache","47.6094170000","-122.1795000000"
"GCGMXC :: Digital Duck","47.6049670000","-122.1409500000"
"GCHZZX :: Larsen Lake","47.6045500000","-122.1374830000"
"GC37FE :: Urban Cache: Ten-Two Hundred","47.6120830000","-122.1934000000"
"GCHMRT :: Steganography","47.6095170000","-122.1694330000"
"GCCFD7 :: If Fish Could Walk","47.5683830000","-121.8912500000"
"GCGTA4 :: Depot Detour `Ekolu","47.6117500000","-122.1807670000"
"GCGKA2 :: Aqua Pura","47.6288670000","-122.3145670000"
"GCA845 :: NIPPON SAKURA HANA","47.6283000000","-122.2959830000"
"GCBB79 :: My Birthday Suit","47.6212830000","-122.1916000000"
"GCJGTC :: What Color Bear?","47.6180170000","-122.1229670000"
"GCGFGJ :: Mini-Golf","47.6181830000","-122.1242000000"
"GCEA1E :: Bel-Red Micro","47.6242670000","-122.1591000000"
"GCJXG1 :: Another Mossy Bridge","47.6394670000","-122.2966670000"
"GCBF5E :: Digital Doorway","47.6249000000","-122.1549670000"
"GCGWXX :: Thousands of Evergreens","47.6263000000","-122.1541670000"
"GCF085 :: SuperGenius #1","47.6261500000","-122.1436000000"
"GCJ2NT :: Primordial Forest... homerun?","47.6234670000","-122.1179670000"
"GCA847 :: 1963 Road to Nowhere","47.6427830000","-122.2974000000"
"GCHMPX :: Float my Boat","47.6305000000","-122.1630170000"
"GCJDRM :: Phonetic Floating Garbage Cans?","47.6282000000","-122.1416670000"
"GCG20H :: SuperGenius #9 Momma Cache","47.6311330000","-122.1605670000"
"GCJGTV :: Geocacher, Lost?","47.6309670000","-122.1422500000"
"GCHRWF :: Meeko's Micro","47.6184000000","-122.0356670000"
"GCM3RB :: Discoteca - A Very Disco Park","47.6586000000","-122.4218000000"
"GCG0Z2 :: Tam O'Shanter Trail","47.6297330000","-122.1051330000"
"GCPR8Z :: I Could Come Here Every Day and Not Get Bored","47.6605500000","-122.4318170000"
"GCHHX9 :: Zip It!","47.6244170000","-122.0569000000"
"GCP2HC :: West Point Light","47.6620830000","-122.4354000000"
"GCG0Z1 :: Cache Without a View?","47.6313330000","-122.0947670000"
"GC527C :: Ardmore Adventure (There and Back Again)","47.6364670000","-122.1156330000"
"GCH5K4 :: Cachette","47.6275500000","-122.0298330000"
"GCGQKT :: Welcome -=(GEO)=-","47.6402330000","-122.1186830000"
"GCA77D :: Microstop #1","47.6436330000","-122.1333170000"
"GCD22C :: Aurie's Walk","47.6418500000","-122.1028330000"
"GCG1MM :: H20 Tower","47.6500000000","-122.1666670000"
"GC258E :: Sawmill a.k.a. Your Browser's Cache","47.6459000000","-122.1210000000"
"GCF310 :: MSmicro","47.6462170000","-122.1235170000"
"GCH6WF :: Scenic in Sammamish","47.6429330000","-122.0549000000"
"GC33B7 :: Love30","47.6433830000","-122.0569500000"
"GCGN1X :: Duncan's Quest","47.6561830000","-122.1527170000"
"GC6DE8 :: Tiki's Temple","47.6449830000","-122.0633330000"
"GCH6DD :: Noogie","47.6500000000","-122.1000000000"
"GC2AAB :: Potluck & Quilting Bee Memorial Cache","47.6563000000","-122.1092830000"
"GCHYC4 :: The Great Waldo Cache","47.6541830000","-122.0915330000"
"GCE9C1 :: Santana","47.6651500000","-122.1812670000"
"GCF52E :: SG #2 - Stars & Stripes","47.6605830000","-122.1401000000"
"GCC798 :: Multi-use trail","47.6590830000","-122.1269500000"
"GCJ1GR :: Homerun","47.6596670000","-122.1315830000"
"GCJ7Z6 :: SG #28 - It's A Boy!!!","47.6633670000","-122.1448500000"
"GCH4W6 :: SuperGenius #15 - Bandana Backpack","47.6633670000","-122.1448500000"
"GCJ94X :: Moun10Tyke's Deposit Cache","47.6590000000","-122.1079830000"
"GC587C :: Staffing and Leadership","47.6617670000","-122.1215330000"
"GC22ED :: Wasting Time @ Bridle Trails","47.6680000000","-122.1694500000"
"GCGG64 :: Spirited Cache","47.6645500000","-122.1384330000"
"GCHR0C :: Retro Classic Cache","47.6607830000","-122.0968500000"
"GC3D0D :: Apprehended!","47.6671000000","-122.1472670000"
"GCGT9Z :: Depot Detour `Ekahi","47.6640670000","-122.1074500000"
"GCF545 :: SuperGenius #3 Eggstraordinary","47.6701000000","-122.1464670000"
"GCGQRH :: BioRad Woods","47.6640670000","-122.0950830000"
"GCHB8W :: Big Bookworm","47.6682500000","-122.1217000000"
"GCEA04 :: Five Year Cache","47.6681000000","-122.1182170000"
"GCM3MP :: Travel Bug","47.6690330000","-122.1251170000"
"GC88CC :: KITE HILL","47.6833330000","-122.2470830000"
"GCHADT :: RiverWalk Holiday Exchange","47.6703830000","-122.1257670000"
"GCJBBW :: REI Redmond - Be Prepared","47.6708330000","-122.1183330000"
"GCHX1H :: Luke McRedmond Cache","47.6726170000","-122.1313330000"
"GCECC8 :: Redmond Rotary Picnic Area","47.6728670000","-122.1328670000"
"GCHM90 :: I Will!","47.6689670000","-122.0974170000"
"GCGZTR :: Anderson Arch Ache","47.6723330000","-122.1156330000"
"GCJ8NH :: SG #29 - Big Cat Cache","47.6769170000","-122.1520170000"
"GCHEN9 :: Depot Lite","47.6706500000","-122.1005830000"
"GCPV2J :: Redmond Mini Nature Trail","47.6715170000","-122.1036500000"
"GCA05D :: Boom!","47.6728170000","-122.1130170000"
"GCKNP9 :: Redmond Works Cache","47.6722170000","-122.0981170000"
"GCHRCR :: I Crashed!","47.6756830000","-122.1243330000"
"GCF094 :: Hidden Eagles","47.6883330000","-122.2266670000"
"GCH2GX :: Mini Green Monster","47.6779000000","-122.1308830000"
"GCM39B :: We Meant to Do That","47.6752170000","-122.1074170000"
"GCA661 :: Act Your Age","47.6793330000","-122.1266500000"
"GC97E :: Follow the Red Brick Road","47.6740670000","-122.0804000000"
"GCC405 :: Sammamish Trail","47.6806330000","-122.1319500000"
"GCHBXV :: Steel Mill II","47.6866330000","-122.1788000000"
"GC9C53 :: Macbeth V,V, 33 (1914 Oxford Complete Edition)","47.6788670000","-122.1044330000"
"GCAA90 :: Singularity","47.6823170000","-122.1317500000"
"GC3FB3 :: Cache of Evidence","47.6912670000","-122.1944830000"
"GCJ26P :: SG #27 - Speckles","47.6847670000","-122.1221000000"
"GCGH8K :: SuperGenius #13 - Nikki's Nike Cache","47.6831500000","-122.1089170000"
"GCHTY7 :: EAGLE LOOKOUT","47.6853830000","-122.1225000000"
"GCD29 :: Forbes Cache","47.6948500000","-122.1931500000"
"GCJBRD :: Perrigo Picnic","47.6826000000","-122.0812170000"
"GCN2GR :: Bridge Over Calm Waters","47.6899670000","-122.1350330000"
"GCJBRM :: Perrigo Pain","47.6838500000","-122.0844170000"
"GCHN9R :: XOXOXO","47.6912670000","-122.1366830000"
"GCGAGG :: Geo Duct 1","47.6909500000","-122.1331500000"
"GC2120 :: Cul de Cache","47.6983830000","-122.1725830000"
"GC2312 :: GPS? IP Address!","47.6983830000","-122.1722170000"
"GC9F8D :: Squeaky Cache","47.6984330000","-122.1724500000"
"GCHRC9 :: I Wipe!","47.6908330000","-122.0950330000"
"GCGE7A :: Quantum Dolphin Crystal Cache","47.6958170000","-122.1249330000"
"GCMH70 :: Gone 2 the Dogs","47.6956670000","-122.1225170000"
"GCGYTW :: Fallen Trio","47.6932000000","-122.0830330000"
"GCHNP4 :: City Island","47.7056670000","-122.1822830000"
"GCHXBC :: Nifty Junk","47.6999830000","-122.1174000000"
"GCGVZK :: On the Farm Again","47.6961330000","-122.0814000000"
"GCEA15 :: Llama Llookout","47.7031830000","-122.1358170000"
"GC932 :: Ant-Hill Cache","47.7091830000","-122.1865170000"
"GCHAX0 :: Bigger Bookworm","47.7039830000","-122.1231170000"
"GCH7E8 :: Hau'oli La Hanau... A Hui Hou!","47.7093170000","-122.1592330000"
"GC2912 :: What a Novel Idea!","47.6959830000","-122.0511170000"
"GC6B30 :: Trapdoor Jewel","47.7022670000","-122.0889500000"
"GCGJ0M :: Lucy's Birthday Cache","47.7138830000","-122.1766830000"
"GCGJ29 :: RUBY SLIPPERS","47.7244330000","-122.1942330000"
"GCB562 :: Old Pond Overlook","47.7129170000","-122.0560830000"
"GC9849 :: The Shaper","47.7320670000","-122.1497330000"
"GC8D9C :: Paradise Lost bk II l. 1051","47.7329500000","-122.1456000000"
"GCA8A7 :: The Evil Overlook","47.7366500000","-122.1598500000"
"GC916E :: Grape Expectations","47.7362830000","-122.1484170000"
"GCGE5M :: Lucy's Cache","47.7546500000","-122.1570000000"
"GCGTA2 :: Depot Detour `Elua","47.7617830000","-122.1800000000"
"GCF088 :: Those Dirty, Rotten, No Good for Nothing...","47.7553670000","-122.0823330000"
"GCD53A :: Merry Cache","47.7596330000","-122.0984000000"
"GCG8P4 :: Sabina's Cache","47.8166670000","-122.3166670000"
"GC2188 :: Quilomene Scenic View","46.9733330000","-119.9712500000"
"GC9165 :: I-90, Wild Stallions Ride Again","46.9663670000","-119.9614670000"
"GCNVG6 :: Port Ludlow","47.9213830000","-122.6837170000"
"GCMMGC :: Caliche Lakes","47.0316500000","-119.9257000000"
"GCEEFA :: Where's George, Washington 2","47.0794000000","-119.8645670000"
"GC90AD :: Dungeness Poker...I'm Bluffing","48.1410170000","-123.1935830000"
"GCJZA1 :: The "Eyes" Have It","48.3887670000","-122.4976500000"
"GCJZA8 :: Take Me For A Spin","48.3888330000","-122.4985500000"
"GCJAN5 :: Hope ... without a prayer","48.3972170000","-122.5392000000"
"GCA158 :: Cap Sante Lookout","48.5126500000","-122.5986170000"
"GCK4G3 :: Ferry Godmother - Saturday Cove","48.5341830000","-123.0143500000"
"GCK4G6 :: Ferry Godmother - Whale of a Tale","48.5982670000","-122.9432170000"
"GCHF04 :: Rosario Rendezvous","48.6897670000","-122.8993670000"
"GCHP3M :: Radar Love","49.0843000000","-125.8417500000"
"GCHZXC :: The MIDst of sand","49.1444170000","-125.9138500000"
"GCCCD2 :: Going to a Red Sox Game Cache","40.0754170000","-112.6753170000"
"GC3FFB :: Yellow Jeep Fever","33.3715170000","-111.8787170000"
"GCBCDA :: Elbow Tree Cache","42.1552670000","-80.0165500000"
"GC4F4B :: ALPHA","42.2271830000","-79.8215830000"
"GCE88 :: State Line Cache","42.1559500000","-79.7711170000"
"GCGEEF :: The Old Fort","43.2645330000","-79.0526670000"
"GC1089 :: Overlook Cache","42.3451330000","-79.4546170000"
"GC5DE0 :: RAPID ART","43.1529500000","-79.0434170000"
"GC4530 :: Broken Pine Cache","42.1095670000","-79.5084330000"
"GCFA77 :: Triple Times ...","42.4398500000","-79.3321170000"
"GC6002 :: FISH'S SPAWN","43.0664830000","-79.0045330000"
"GC8056 :: Bond Lake","43.1765330000","-78.9178670000"
"GC89FE :: Wilson - Tuscarora State Park Geo Site #1","43.3093830000","-78.8413500000"
"GC92E5 :: Wilson - Tuscarora State Park Geo Site #2","43.3106000000","-78.8398330000"
"GC92E7 :: Wilson - Tuscarora State Park Geo Site #3","43.3087670000","-78.8376500000"
"GC4AB1 :: Restful Falls","42.4691000000","-79.2288830000"
"GCG76Z :: WHICH WAY DOES A BEAVER GO?","42.9611670000","-78.9458330000"
"GCG9ET :: Sgt. Ben's All American Veteran's Cache Part II","43.0065500000","-78.9058670000"
